city,province,latitude,longitude
standerton,mpumalanga,-26.933655,29.241518
standplaas,western cape,-33.977928,22.576874
standplaats,western cape,-33.977928,22.576874
stanfieldhill,mpumalanga,-26.917403,29.209746
stanford,western cape,-34.439403,19.456154
stanger,kwazulu natal,-29.328164,31.289537
stanger station,kwazulu natal,-29.328164,31.289537
steadmore,kwazulu natal,-29.611899,29.539343
steelpoort,mpumalanga,-24.731176,30.205835
steel's drift,free state,-27.355589,29.485141
steelwater,western cape,-33.699346,18.58848
steenberg,western cape,-34.074425,18.470234
steenbokpan,limpopo,-23.69532,27.284107
steenbras,western cape,-34.15,18.15
stefanus,free state,-30.533114,26.798661
steilloop bridge,limpopo,-23.416318,28.623476
steilloopbrug,limpopo,-23.416318,28.623476
steillopbrug,limpopo,-23.416318,28.623476
steilnek,north west,-26.014574,24.809561
steilrand,kwazulu natal,-27.8,31.233333
steinau,eastern cape,-31.137856,27.272862
steinkopf,northern cape,-29.262954,17.733405
stellaland,free state,-29.616667,26.95
stella,north west,-26.552983,24.866835
stellenberg,western cape,-33.866088,18.659923
stellenbosch,western cape,-33.934621,18.866762
stendal,kwazulu natal,-28.771258,30.113717
stenekamps kop,free state,-28.516667,28.183333
sterkfontein,free state,-29.784915,26.80914
sterkfontein,eastern cape,-31.558276,25.664383
sterkfontein,limpopo,-25.033333,29.6
sterkloop,mpumalanga,-25.5274,29.846342
sterkloop,limpopo,-23.812179,29.917093
sterkrivier,limpopo,-24.157874,28.740054
sterkspruit,eastern cape,-30.526512,27.367425
sterkspruit,mpumalanga,-25.373544,30.528783
sterkstroom,free state,-30.575602,26.945455
sterkstroom,eastern cape,-31.557139,26.554165
sterkwater,free state,-30.378806,26.70655
sterlefontein,free state,-29.25,26.066667
sterling park,eastern cape,-31.812832,26.42732
sternham,northern cape,-28.895309,21.983782
steunmekaar,free state,-29.503143,25.524089
stevnsrus,eastern cape,-31.294845,25.79783
stewartby,north west,-26.133333,26.183333
stewarton,eastern cape,-30.883333,26.2
steynsburg,eastern cape,-31.295649,25.823382
steynsdorp,mpumalanga,-26.118163,30.981736
steynskraal,free state,-29.452651,25.704191
steynsnek,eastern cape,-31.175417,26.856302
steynsrus,free state,-27.953333,27.563944
steynsrust,free state,-27.953333,27.563944
steynsrust,eastern cape,-30.856867,26.771302
steytlerville,eastern cape,-33.332744,24.34539
sthaberg,north west,-25.41136,27.123867
stiebeuelvlei,northern cape,-30.416667,20.95
stilbaai-oos,western cape,-34.368528,21.42083
stilbaai,western cape,-34.369303,21.407481
stilbaaistrand,western cape,-34.368528,21.42083
stilbaai-wes,western cape,-34.379044,21.417225
stilfontein,free state,-29.493227,26.597143
stilfontein,north west,-26.844926,26.768294
stil gelee,gauteng,-25.595044,28.262489
still bay east,western cape,-34.368528,21.42083
still bay,western cape,-34.369303,21.407481
still bay strand,western cape,-34.368528,21.42083
still bay west,western cape,-34.379044,21.417225
stillerus,free state,-29.3,26.6
stillerus,northern cape,-29.054977,21.995577
stillerus,north west,-27.26267,23.861132
stillerust,free state,-29.445332,25.719659
stillerust,eastern cape,-31.108198,26.135173
stillestroom,free state,-29.667327,26.070199
stille woning,free state,-29.039193,26.048673
stilstaan-en-afspring,northern cape,-29.791615,21.025481
stilverwag,northern cape,-29.787053,21.975256
stinkbrak,northern cape,-30.157294,22.055812
stinkfontein,northern cape,-28.823496,17.254173
stinkhoutfontein,free state,-29.809788,26.014333
stinkord,eastern cape,-30.848402,28.615524
stink puts,northern cape,-30.266667,20.183333
stinkwater,north west,-25.387942,28.15817
stock basin,eastern cape,-31.610634,27.504348
stockdale,eastern cape,-31.710556,26.048839
stockton,eastern cape,-31.247181,25.53084
stockville,western cape,-33.849999,20.115027
stofbakkies,northern cape,-29.666667,19.2
stofberg-gedenkskool,gauteng,-26.833333,28.066667
stofberg,gauteng,-26.833333,28.066667
stoffberggedenkskool,gauteng,-26.833333,28.066667
stoffberg,mpumalanga,-25.416667,28.833333
stoffelshoek,north west,-25.89496,23.197091
stokwes basin,eastern cape,-31.610634,27.504348
stompneusbaai,western cape,-32.724192,17.975436
stompneus bay,western cape,-32.724192,17.975436
stomp,mpumalanga,-25.192262,29.10553
stone edge,limpopo,-23.023566,29.897816
stoneleigh,eastern cape,-31.041533,25.686322
stoneycroft,eastern cape,-30.810979,26.343684
stoney croft,eastern cape,-31.682617,27.320084
ston,kwazulu natal,-29.333333,30.966667
stoomhoek,free state,-28.807514,26.105131
stormberg,eastern cape,-31.283333,26.283333
storms river,eastern cape,-33.973789,23.886632
stormsriviermond,eastern cape,-34.019898,23.896281
stormsrivier,eastern cape,-33.973789,23.886632
stormsvlei,western cape,-34.083391,20.096196
strandfontein,northern cape,-30.966667,17.666667
strandfontein,western cape,-34.073097,18.561189
strandskloof,western cape,-34.578137,19.44257
strand,western cape,-34.106869,18.827513
strathavon,gauteng,-26.1,28.066667
strathfield,eastern cape,-31.568734,26.680767
strathmore park,kwazulu natal,-28.172757,30.212473
strathroy,kwazulu natal,-30.558469,28.880282
straussburg,northern cape,-28.4381,21.332139
strazon estates,mpumalanga,-26.166667,28.95
streatham,limpopo,-24.316667,30.283333
struisbaai,western cape,-34.803655,20.054739
struis bay,western cape,-34.803655,20.054739
